company,current_folder,provider_name,supplier_code,destination_path,notes,sender_emails
"ARTESTA STORE, S.L.",ADOBE,ADOBE SYSTEMS SOFTWARE IRELAND LTD,ADOBE,expenses/opex/technology,,
"ARTESTA STORE, S.L.","AP Photo","A P PHOTO INDUSTRIES, S.L.",APPHOTOES,expenses/cogs/manufacturing,,apphoto@apphoto.es
"ARTESTA STORE, S.L.","AP Photo","A P PHOTO CANARIAS, S.L.",APPHOTOCAN,expenses/cogs/manufacturing,IGIC 7%,info@apphoto.net
"ARTESTA STORE, S.L.",canva,CANVA PTY. LTD.,CANVA,expenses/opex/technology,,
"ARTESTA STORE, S.L.",chatgpt,OPENAI,OPENAI,expenses/opex/technology,Groups ChatGPT and API,
"ARTESTA STORE, S.L.",CLARIS,"CLARIS GESTIO I DOCUMENTACIO, S.L.",CLARIS,expenses/opex/administration,,
"ARTESTA STORE, S.L.",Contasimple,"CEGID SMB, S.A.U",CONTASIMPLE,expenses/opex/administration,Accounting software subscription,
"ARTESTA STORE, S.L.",Correos,CORREOS,CORREOS,expenses/cogs/logistics,Peninsula/Baleares 21% IVA,
"ARTESTA STORE, S.L.",Correos,CORREOS CANARIAS,CORREOSCAN,expenses/cogs/logistics,Canarias 7% IGIC,
"ARTESTA STORE, S.L.",DCT,DCT GMBH,DCT,expenses/cogs/manufacturing,,
"ARTESTA STORE, S.L.",GLS,GLS,GLS,expenses/cogs/logistics,OCR-based GLS parser via scanned PDF,info@rgtmensajeros.com
"ARTESTA STORE, S.L.",godaddy,GODADDY,GODADDY,expenses/opex/technology,,
"ARTESTA STORE, S.L.",Google,GOOGLE WORKSPACE,GOOGLEWORKSPACE,expenses/opex/technology,,
"ARTESTA STORE, S.L.",Google,GOOGLE ADS,GOOGLEADS,expenses/opex/marketing,,
"ARTESTA STORE, S.L.",Gorgias,GORGIAS INC,GORGIAS,expenses/opex/technology,,
